;Voters;voting_before;voting_normally;voting_outside;Invalid;Valid;Rodina;Kommunisty_rosii;Pensy_za_spravedlivost;Edinaya_rasiya;Green;Grazhd_Platforma;ldpr;Parnas;Rosta;Grazhd_Sila;Yabloko;kprf;Patrioty;Sprav_rasiya
PEC ¹2464;2294;0;640;5;12;632;3.88%;1.86%;3.26%;38.98%;2.17%;0.16%;16.30%;2.33%;2.95%;0.31%;4.50%;12.58%;0.78%;8.07%
PEC ¹2465;2328;0;785;6;5;786;3.54%;2.28%;3.29%;34.89%;2.91%;0.25%;15.30%;2.28%;4.55%;0.00%;8.60%;13.40%;1.26%;6.83%
PEC ¹2466;2377;0;676;14;11;679;3.62%;2.03%;2.03%;44.20%;1.59%;1.01%;12.32%;2.61%;3.48%;0.43%;6.81%;11.01%;0.72%;6.52%
PEC ¹2467;2824;0;772;14;16;770;4.20%;2.04%;3.05%;36.39%;2.42%;0.76%;16.16%;4.07%;2.93%;0.00%;6.11%;12.09%;0.89%;6.87%
PEC ¹2468;2519;0;807;22;13;810;3.52%;1.34%;3.16%;39.00%;2.43%;0.12%;15.55%;2.07%;2.19%;0.24%;7.65%;13.49%;0.97%;6.68%
PEC ¹2469;2640;0;794;17;18;793;3.70%;1.97%;3.21%;42.05%;1.11%;0.49%;13.69%;2.71%;4.44%;0.86%;4.93%;9.25%;1.11%;8.26%
PEC ¹2470;2691;0;830;30;22;838;3.37%;1.51%;2.21%;36.86%;1.86%;0.23%;18.26%;3.14%;1.98%;0.12%;6.74%;12.79%;1.40%;6.98%
PEC ¹2471;2391;0;573;7;7;573;2.93%;1.55%;2.59%;38.97%;1.90%;0.34%;16.72%;2.93%;2.24%;0.17%;8.28%;11.55%;0.52%;8.10%
PEC ¹2472;2480;0;828;9;11;824;2.99%;2.28%;2.75%;39.40%;1.20%;0.36%;18.32%;2.99%;4.07%;0.00%;4.19%;12.46%;0.72%;6.95%
PEC ¹2473;2149;0;711;4;15;700;5.17%;2.24%;1.68%;37.20%;2.10%;0.28%;17.34%;2.66%;2.52%;0.42%;7.83%;12.17%;0.42%;5.87%
PEC ¹3422;1594;0;443;1;10;434;4.05%;1.80%;2.70%;32.43%;2.25%;0.45%;14.64%;5.63%;9.46%;0.23%;11.04%;7.88%;0.45%;4.73%
PEC ¹2474;2210;0;823;21;17;827;2.84%;2.37%;3.79%;27.61%;2.61%;0.36%;10.90%;3.79%;4.03%;0.12%;14.45%;15.64%;0.95%;8.53%
PEC ¹2475;2352;0;874;11;21;862;3.28%;2.27%;3.06%;33.07%;2.60%;0.23%;11.66%;2.49%;4.30%;0.34%;7.70%;17.67%;0.79%;8.15%
PEC ¹2476;2097;0;699;13;10;697;3.39%;2.12%;2.97%;32.39%;2.55%;0.28%;11.74%;3.82%;5.09%;0.00%;7.21%;16.41%;1.13%;9.48%
PEC ¹2477;652;0;247;0;5;242;3.64%;1.21%;1.62%;30.77%;2.43%;0.40%;10.93%;2.02%;7.69%;0.00%;13.77%;17.81%;0.40%;5.26%
PEC ¹2478;1088;0;330;9;10;329;2.65%;0.59%;3.83%;35.99%;2.36%;0.00%;14.16%;2.65%;2.06%;0.59%;8.85%;12.68%;0.00%;10.62%
PEC ¹2479;1483;0;479;10;15;465;2.08%;2.08%;3.13%;35.21%;2.29%;0.00%;12.50%;1.25%;3.13%;0.00%;10.21%;13.13%;1.04%;10.83%
PEC ¹2480;2297;0;734;20;23;728;2.93%;1.33%;2.26%;35.29%;1.86%;0.67%;14.65%;2.66%;3.86%;0.40%;6.26%;13.45%;0.80%;10.52%
